location,lat,lon,name,address,description,furnishing,facing,water,bathroom,security,non-veg,lift,AC,swimming pool,servant room,gas,sewage treatment,visitor parking,gym,club house,children play area,park,house keeping,internet,intercom,fire safety,shopping center,water harvest,power backup,rent,builtup,deposit,bedroom,house type,preferred tenants,availability,parking,age,balcony
Velachery,12.974,80.218,"Standalone Building Vijaya Nagar, Velachery - 2 BHK in Vijaya Nagar, Velachery for Rent","Standalone Building, 3rd Main Road, Vijaya Nagar, Near Tamilnadu Super Market And Megamart",Not available,Semi,South,Both,2,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,25000/M,1200,200000,2 Bedroom,Apartment,Family, Immediately,Car,Newly Constructed,1
Velachery,12.978,80.229,May Flower Velachery - 3 BHK in Velachery for Rent,"May Flower, Baby Nagar Pm Salai 1st Main Rd Near Anugraha A/c Marriage Hall","The house is semi furnished with wardrobes,modular kitchen,geyser,tube lights, fans and electrical fittings",Semi,NA,NA,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,19000/M,1050,100000,3 Bedroom,Apartment,Family, Immediately,Bike and Car,3-5 years,0
Velachery,12.977,80.222,Standalone Building Velachery - 2 BHK in Velachery for Rent,"Standalone Building, 1st St, Lic Colony, Near Icici Bank And Dr.s.anandhi","The house is unfurnished. It has easy access to market, schools, hospitals, banks and ATM's as wel",Unfurnished,North,Borewell,2,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,15000/M,850,90000,2 Bedroom,Independent house,Doesn't Matter,Immediately,Car,>10 years,0
Velachery,12.983,80.231,Standalone Building Velachery - 2 BHK in Velachery for Rent,"Standalone Building, Velachery - Taramani 100 Feet Road, Near Tata Consultancy Services -velachery",Not available,Semi,NA,Both,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,14000/M,800,40000,2 Bedroom,Independent house,Family, Immediately,Bike,Newly Constructed,0
Velachery,12.977,80.214,Standalone Building Velachery - 1 BHK in Velachery for Rent,"Standalone Building, Sri Palaniappa Street, Vijay Nagar 1st Main Road, Near Lakshmi Vidyalaya School",Unfurnishe,Unfurnished,NA,Corporation,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,9500/M,500,50000,1 Bedroom,Apartment,Family, Immediately,Bike,Newly Constructed,0
Velachery,12.986,80.21,Raj Flats Velachery - 2 BHK in Velachery for Rent,"Raj Flats, 2nd Cross, 3rd Main Rd, Eb Colony, Near Naga Muthumaari Amman Temple","The house is semi furnished with wardrobes, fans. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,East,Corporation,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,15000/M,1000,70000,2 Bedroom,Apartment,Doesn't Matter,Immediately,Bike and Car,5-10 years,1
Velachery,12.983,80.222,Standalone Building Velachery - 2 BHK in Velachery for Rent,"Standalone Building, Nattaar Street , Near Velachery Skin And Hair Clinic",Not available,Semi,NA,Borewell,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,16000/M,850,100000,2 Bedroom,Independent house,Family, Immediately,Bike,Newly Constructed,0
Velachery,12.984,80.217,SAI NIKETAN CHOUDRY BUILDERS Velachery - 2 BHK in Velachery for Rent,"Sai Niketan Choudry Builders, Ammman Koil Street, Near Sri Murugan Marriage Hall A/c","The house is semi furnished with wardrobes in all the rooms. It has easy access to market, schools,
hospitals, banks and ATM as well.
FIVE MINUTES FROM 100 FEET ROA",Semi,South,Both,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,12000/M,703,60000,2 Bedroom,Apartment,Doesn't Matter, Immediately,Bike,>10 years,0
Velachery,12.972,80.219,Standalone Building Velachery - 2 BHK in Velachery for Rent,"Standalone Building, Vijaya Nagar, Near Sri Venkateshwara Super Market,",Not available,Semi,NA,NA,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,16000/M,1100,96000,2 Bedroom,Independent house,Doesn't Matter, Immediately,Bike and Car,1-3 years,0
Mambakkam,12.842,80.174,DABC Begonia Polachery - 2 BHK in Polachery for Rent,"Dabc Begonia, Ponmar, Near Maharishi Vidha Mandir",Not available,Semi,East,Borewell,2,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,10000/M,955,60000,2 Bedroom,Apartment,Doesn't Matter,Immediately,Bike and Car,3-5 years,1
Mambakkam,12.836,80.17,SBIOA unity enclave Mambakkam - 3 BHK in Mambakkam for Rent,"Sbioa Unity Enclave, Ananthavalli Nagar,near Arulmigu Muruganatheswarar Temple","The house is semi furnished with wardrobes, Geysers, Fans, Lights",Semi,NA,Corporation,3,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,20000/M,1550,100000,3 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,Newly Constructed,2
Mambakkam,12.847,80.178,Dabc Habitat Ponmar - 2 BHK in Ponmar for Rent,"Dabc Habitat, Near Mvm School, Ponmar, Chennai, Tamil Nadu, India.","Two storage building with independent parking, motor, sump, bore well, (Row house",Semi,South,Borewell,3,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,10000/M,1750,50000,2 Bedroom,Independent house,Family, Immediately,Bike and Car,1-3 years,2
Mambakkam,12.836,80.17,SBIOA Unity Enclave Mambakkam - 1 BHK in Mambakkam for Rent,"Sbioa Unity Enclave, Ananthavalli Nagar, Near Sudesi Milk","The house is semi furnished with wardrobes. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,West,Both,1,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,8000/M,740,80000,1 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,Newly Constructed,2
Mambakkam,12.836,80.158,Tata New Haven Ribbon Walk Mambakkam - 2 BHK in Mambakkam for Rent,"Tata New Haven Ribbon Walk, Vandalur Kelambakkam Road, Next To Vellore Institute Of Technology, Mambakkam, Chennai, Tamil Nadu 600048, India","The house is unfurnished. It has easy access to market, schools, hospitals, banks and ATM's as well.
family and working professionals are preferre",Unfurnished,East,Corporation,2,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,15000/M,999,45000,2 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,Newly Constructed,1
Mambakkam,12.835,80.156,TVH Mambakkam - 2 BHK in Mambakkam for Rent,"Tvh, Kelambakkam-vandalur Rd Near Shri Sai Saravanas Hotel And Vijaya Hotel","The house is Unfurnished with tube light, geyser, fans and electrical fittings",Unfurnished,NA,NA,1,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,12000/M,625,75000,2 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,Newly Constructed,1
Mambakkam,12.841,80.154,Independent House Madurapakkam - 3 BHK in Madurapakkam for Rent,"Independent House, Vandalur-kelambakkam Rd, Near Vit University And Brindavan Restaurant","The house is semi furnished with wardrobes in all the rooms. It has easy access to market, schools, hospitals, banks and ATM's as well.
Tanker Water Availabl",Semi,NA,NA,2,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,8000/M,850,40000,3 Bedroom,Independent house,Doesn't Matter, Immediately,Bike and Car,Newly Constructed,1
Mambakkam,12.844,80.153,Tamilnadu police housing board Kovilancheri - 3 BHK in Kovilancheri for Rent,"Tamilnadu Police Housing Board, Melakottaiyur Vandalur - Kelambakkam Road, Near Vit Academic Block 1","The house is unfurnished. It has easy access to market, schools, hospitals, banks and ATM's as well",Unfurnished,West,Both,3,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,9000/M,650,45000,3 Bedroom,Independent house,Family, Immediately,Bike and Car,Newly Constructed,1
Mambakkam,12.847,80.171,DABC Acacia Ponmar - 3 BHK in Ponmar for Rent,"Dabc Acacia, Mambakkam, Near Moolacheri, Chennai",Not available,Semi,North,Borewell,3,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,13000/M,1350,130000,3 Bedroom,Apartment,Family, Immediately,Car,5-10 years,2
Mambakkam,12.851,80.171,"Independent House Ponmar, Moolacheri, Tamil Nadu, India - 4 BHK in Ponmar, Moolacheri, Tamil Nadu, India for Rent","Independent House, Near Rajkam Apartment","4BHk in Independent villa,with wardrobes,near prince college for engineerin",Semi,East,Borewell,3,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,13000/M,1850,65000,4 Bedroom,Independent house,Family, Immediately,Bike and Car,Newly Constructed,3
