location,lat,lon,name,address,description,furnishing,facing,water,bathroom,security,non-veg,lift,AC,swimming pool,servant room,gas,sewage treatment,visitor parking,gym,club house,children play area,park,house keeping,internet,intercom,fire safety,shopping center,water harvest,power backup,rent,builtup,deposit,bedroom,house type,preferred tenants,availability,parking,age,balcony
Nungambakkam,13.054,80.242,Not Disclosed Nungambakkam - 2 BHK in Nungambakkam for Rent,"Not Disclosed, Veerabadran Street Near Valluvar Kottam","The house is Semi furnished with wardrobes, modular kitchen,tube light, geyser, fans and electrical fittings",Semi,North,Both,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20000/M,1100,100000,2 Bedroom,Apartment,Family, Immediately,Bike and Car,>10 years,2
Nungambakkam,13.062,80.235,SR Apartments Nungambakkam - 3 BHK in Nungambakkam for Rent,"Sr Apartments, Sterling Rd Near Loyolla College",Not available,Semi,West,Both,3,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,37000/M,1550,400000,3 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,>10 years,1
Nungambakkam,13.057,80.241,Krishna Kuteeram Nungambakkam - 2 BHK in Nungambakkam for Rent,"Krishna Kuteeram, Corporation School Rd, Near Independence Day Park","The house is semi furnished with wardrobes. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,North,Both,2,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,25000/M,890,150000,2 Bedroom,Apartment,Family, Immediately,Bike and Car,5-10 years,0
Nungambakkam,13.061,80.238,Jains La Gardenia Nungambakkam - 3 BHK in Nungambakkam for Rent,"Jains La Gardenia, Plot No 18-b, Kothari Road, Nungambakkam, Chennai 600034, Tamil Nadu, India.","The house is semi furnished with Wardrobes and Basic electric fittings.It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,East,Both,3,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,45000/M,1840,270000,3 Bedroom,Apartment,Doesn't Matter, Immediately,Car,>10 years,0
Nanganallur,12.99,80.192,Shree Hari Om Apartments Nangainallur - 2 BHK in Nangainallur for Rent,"Shree Hari Om Apartments, 19th Street, Near Khadi Gramudyog Bhavan","The house is semi furnished with wardrobes, Fans, Lights",Semi,North,Both,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,10000/M,700,50000,2 Bedroom,Apartment,Family, Immediately,Bike,>10 years,0
Nanganallur,12.98,80.182,Independent House Nangainallur - 1 BHK in Nangainallur for Rent,"Independent House, Nehuru Colony Near Vetrrivel Cinemas",Not available,Unfurnished,East,Both,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8000/M,350,40000,1 Bedroom,Independent house,Bachelor's, Immediately,Bike,5-10 years,0
Nanganallur,12.979,80.184,Independent House Nangainallur - 1 RK in Nangainallur for Rent,"Independent House, Iyyappan Nagar 3rd Street, Near Hindu Mission Hospital","House available for family or working bachelors
The house is unfurnished. It has easy access to market, schools, hospitals, banks and ATM's as well",Unfurnished,North,Both,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,3500/M,500,10000,1 Bedroom,Independent house,Doesn't Matter,Immediately,Bike,>10 years,0
Nanganallur,12.981,80.188,"Nithya Flats Nangainallur, Chennai, Tamil Nadu, India - 2 BHK in Nangainallur, Chennai, Tamil Nadu, India for Rent","Nithya Flats, Flat No S2, Nithya Flats 42nd Thillai Ganganagar Colony, Naganallu","FACILITIES : LIFT WITH ONE PRIVATE TERRACE, CAR PARKING
MASTER BEDROOM WITH REST ROO",Semi,East,Both,2,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,15000/M,900,75000,2 Bedroom,Apartment,Family, Immediately,Car,1-3 years,1
Nanganallur,12.98,80.193,Independent House Nangainallur - 1 BHK in Nangainallur for Rent,"Independent House, Macmillan Colony, Near Adyar Anandha Bhavan","The house is semi furnished with wardrobes. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,NA,NA,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6000/M,500,30000,1 Bedroom,Independent house,Doesn't Matter, Immediately,Bike,3-5 years,0
Nanganallur,12.977,80.182,Standalone Building Nangainallur - 2 BHK in Nangainallur for Rent,"Standalone Building, 21st Street, Hindu Colony, Near Hindu Colony Venkateshvara School",Not available,Semi,West,Both,2,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,14000/M,1200,60000,2 Bedroom,Independent house,Doesn't Matter,Immediately,Bike and Car,>10 years,0
Nanganallur,12.979,80.181,Not Disclosed Nangainallur - 3 BHK in Nangainallur for Rent,"Not Disclosed, Telegraph Colony, Near Arasadi Vinayakar Temple","Only for a small family and strictly pure vegetarian.
Maintenance will be Discussed by Property Owner.
The house is Semi furnished with wardrobes, modular kitchen,tube light, geyser, fans and electrical fittings",Semi,North,Corporation,2,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,25000/M,1100,150000,3 Bedroom,Apartment,Family, Immediately,Bike and Car,Newly Constructed,3
Nanganallur,12.979,80.184,Yamuna Flat Nangainallur - 2 BHK in Nangainallur for Rent,"Yamuna Flat, Sriram Colony Near Hindu Mission Hospital","The house is semi furnished with wardrobes. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,East,Corporation,2,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,12000/M,660,100000,2 Bedroom,Apartment,Family, Immediately,Bike,3-5 years,0
Nanganallur,12.979,80.185,Independent House Nangainallur - 2 BHK in Nangainallur for Rent,"Independent House, Iyyappan Nagar 3rd Street, Near Hindu Mission Hospital","House available for family or working bachelors
The house is unfurnished. It has easy access to market, schools, hospitals, banks and ATM's as well",Unfurnished,NA,Both,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,9500/M,950,45000,2 Bedroom,Independent house,Doesn't Matter,Immediately,Bike,>10 years,0
Nanganallur,12.985,80.181,Arunalaya Flat Nanganallur - 3 BHK in Nanganallur for Rent,"Arunalaya Flat, 2nd Joseph Street Near Agurchand Manmull Jain School And Agurchand Manmull Jain College (am Jain College)","The house is fully furnished with wardrobes , modular kitchen, TV, washing machine, microwave and water purifier. It has easy access to market, schools, hospitals, banks and ATM's as well.
flood safe zon",Full,North,Both,3,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,24000/M,1220,125000,3 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,>10 years,1
Chrompet,12.952,80.149,Independent House Chromepet - 2 BHK in Chromepet for Rent,"Independent House, Church Rd, Panchayat Colony,, Near Evangelical Church Of India","The house is semi furnished with wardrobes, Cupboards, Semi Modular Kitchen, Exhaust fan, Car & bike parking. Lights-fans. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,East,Both,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,10000/M,850,49000,2 Bedroom,Independent house,Family, Immediately,Bike and Car,1-3 years,0
Chrompet,12.95,80.138,K V Apartments Chromepet - 2 BHK in Chromepet for Rent,"K V Apartments, Gst Road Near Railway Station","Very Near to Bus Stand and Railway Station, the house is semi furnished with wardrobes. It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,East,Both,3,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,12500/M,900,65000,2 Bedroom,Apartment,Family, Immediately,Bike,>10 years,2
Chrompet,12.949,80.16,"Future home Pineville Chromepet, Chennai, Tamil Nadu, India - 2 BHK in Chromepet, Chennai, Tamil Nadu, India for Rent","Future Home Pineville, Future Homes Pineville Mylarasu Nagar, Nemilicherry Chenna",Not available,Semi,West,Borewell,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,11500/M,900,115000,2 Bedroom,Apartment,Family, Immediately,Bike and Car,3-5 years,2
Chrompet,12.943,80.142,Sabari Sastha Flats Chromepet - 2 BHK in Chromepet for Rent,"Sabari Sastha Flats, Nehru Nagar, Near Nsn Matriculation Higher Secondary School","The house is unfurnished with lights, fans",Unfurnished,South,Both,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8000/M,700,50000,2 Bedroom,Apartment,Doesn't Matter, Immediately,Bike,>10 years,2
Chrompet,12.948,80.14,rasi Chromepet - 1 BHK in Chromepet for Rent,"Rasi, 2nd Valluvar St,gandhi Nagar, Near Chromepet Railway Station, Central Bank Of India",Not available,Unfurnished,South,Both,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,6000/M,400,25000,1 Bedroom,Apartment,Doesn't Matter, Immediately,Bike,1-3 years,1
Chrompet,12.938,80.15,Independent House Chromepet - 3 BHK in Chromepet for Rent,"Independent House, Hasthinapuram,vinobhaji Nagar, 13th Street Near Sri Devi Karumariamman Putru Aalayam","The house is unfurnished. It has easy access to market, schools, hospitals, banks and ATM's as well",Unfurnished,NA,Both,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,13000/M,1000,100000,3 Bedroom,Family,Family, Immediately,Bike,Newly Constructed,0
Chrompet,12.949,80.156,"KRTIN Flats Padavettamman Temple, Radha Nagar Main Road, Chromepet, Chennai, Tamil Nadu, India - 2 BHK in Padavettamman Temple, Radha Nagar Main Road, Chromepet, Chennai, Tamil Nadu, India for Rent","Krtin Flats, Gajalakshmi Colony, Near Padavettamman Temple",Not available,Semi,NA,Corporation,2,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,10000/M,900,80000,2 Bedroom,Apartment,Doesn't Matter, Immediately,Car,5-10 years,0
Chrompet,12.943,80.156,Ramavasantham Chromepet - 3 BHK in Chromepet for Rent,"Ramavasantham , Vinoboji Nagar, Near Hasthinapuram Bus Terminus And Hotel Vaigai",Not available,Semi,NA,Both,3,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,12500/M,1200,62500,3 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,3-5 years,2
Chrompet,12.951,80.16,Velan illam Chromepet - 1 BHK in Chromepet for Rent,"Velan Illam, Ranganathan St Near Shri Chitanya Maha Ganapathi Aalayam","The house is semi furnished with wardrobes. It has easy access to market, schools, hospitals, banks and ATM's as well.
veg is preferable",Semi,NA,Both,1,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,6000/M,550,25000,1 Bedroom,Apartment,Bachelor's, Immediately,Bike,1-3 years,0
Chrompet,12.951,80.159,Velan Illam Chromepet - 2 BHK in Chromepet for Rent,"Velan Illam, Ranganathan St Near Shri Chitanya Maha Ganapathi Aalayam",Not available,Semi,NA,Both,2,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,11000/M,950,50000,2 Bedroom,Independent house,Family, Immediately,Bike and Car,1-3 years,1
